ID,Name,Grade
073900438,Osbourne Wakenshaw,85
114924014,Albie Gierardi,92
111901632,Eleen Pentony,78
084000084,Arie Okenden,88
272471551,Alica Muckley,95
104900721,Jo Burleton,73
111924392,Cam Akram,81
292970744,Celine Brosoli,76
107004352,Alan Belfit,89
071108313,Jeanette Gilvear,91
042204932,Ethelin MacCathay,84
111914218,Kakalina Finnick,79
074906059,Mayer Lorenzetti,87
091000080,Selia Rosenstengel,82
055002480,Dalia Tadd,90
063101111,Darryl Doogood,77
071908827,Brier Wace,86
322285668,Bucky Udall,93
103006406,Haslett Beaford,80
104913048,Shelley Spring,88
